DIAL_DIGIT_KEY,EVENT_DIRECTION_KEY,SDCA_LOCATION_CODE,TARGET_REGION_DESC,TARGET_COUNTRY_CODE,TARGET_COUNTRY_DESC,LDCA_NAME,SDCA_NAME,LDCC_X_COORD,LDCC_Y_COORD,CDSS_X_COORD,CDSS_Y_COORD,ISO_COUNTRY_CODE,RATE_CALSS,DIAL_DIGIT_DESC,PREFIX_IND,LIST_TYPE_ID_KEY,HOTLIST_IND,TEST_EVENT_IND,EVENT_CATEGORY_KEY,DM_IND,EVENT_TYPE_KEY,LENGTH,PROVIDER_DESC,BU_KEY,NOP_ID_KEY,FORCE_RI_IND,POPULATION_DATE_TIME,UPDATE_DATE_TIME
2491242,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,MOBILINKEL MARIEKH VOTING & COMPETITION,1,125,9,02/24/2009 11:26:46,
2491243,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,MOBILINKEL MARIEKH QUESTION 2VIP,1,125,9,02/24/2009 11:26:46,
2491248,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,MOBILINKVOTING & COMPETITION,1,125,9,02/24/2009 11:26:46,
2491249,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,MOBILINKJOB ALERT NEWS ,1,125,9,02/24/2009 11:26:46,
2491250,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,MOBILINKKASALA SMS2 TV,1,125,9,02/24/2009 11:26:46,
2491255,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,NEWSPAPER NEWS  || news service with the cooperation with alsudani newspapers,1,125,9,02/24/2009 11:26:46,
2491312,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,SAYIDATY  || health information,1,125,9,02/24/2009 11:26:46,
2491313,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,"VIASERVICE  || nokia smart messaging (monophonic ringtones, pictures, logos)",1,125,9,02/24/2009 11:26:46,
2491320,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,TV SHOW  || tv chat,1,125,9,02/24/2009 11:26:46,
2491321,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,SUPER STAR (FUTURE)  || tv voting,1,125,9,02/24/2009 11:26:46,
2491405,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ISYSALLORD TV,1,125,9,02/24/2009 11:26:46,
2491406,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ISYSDR. MUBARAK SERVICE,1,125,9,02/24/2009 11:26:46,
2491407,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ISYSSHABABIK TV,1,125,9,02/24/2009 11:26:46,
2491408,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ISYSSUDAN OPEN UNIVERSITY,1,125,9,02/24/2009 11:26:46,
2491409,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ISYSSUDAN OPEN UNIVERSITY,1,125,9,02/24/2009 11:26:46,
2491414,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,X-FACTOR (ROTANA)  || tv voting,1,125,9,02/24/2009 11:26:46,
2491424,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,SEGA(TV SHOW)  || tv show by osama alsayed(chief),1,125,9,02/24/2009 11:26:46,
2491425,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,"RAMADAN SERVICES  || push messages for do'aa, verse hadeeth alyoum",1,125,9,02/24/2009 11:26:46,
2491426,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,SAHAR TV  || tv chat,1,125,9,02/24/2009 11:26:46,
2491427,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ABUDHABI TV (COMPETITION SHOW)  || tv voting,1,125,9,02/24/2009 11:26:46,
2491428,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ALJAZEERA MOBILE SERVICE(TV VOTING IN PROGRAMS & SERVAYES)  || tv voting,1,125,9,02/24/2009 11:26:46,
2491430,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,AFP  || news,1,125,9,02/24/2009 11:26:46,
2491431,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,COMPETITION  || competition programe with mbc ,1,125,9,02/24/2009 11:26:46,
