"MCC","MNC","TADIG_CODE","CC","OPERATOR_COUNTRY","OPERATOR_NAME","POPULATION_DATE_TIME","UPDATE_DATE_TIME"
"","","PERNC","","PERU","NEXTEL DEL PERU SA ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PERMO","","PERU","TELEFONICA MOVILES PERU, S.A.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PHLGT","","PHILIPPINES","GLOBE TELECOM INC","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PHLSR","","PHILIPPINES","SMART COMMUNICATIONS INC.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PHLNC","","PHILIPPINES","NEXTEL COMMUNCIATIONS PHILIPPINES INC","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PHLDG","","PHILIPPINES","DIGITEL MOBILE PHILIPPINES, Inc. ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","POL03","","POLAND","ORANGE (ex-PTK CENTERTEL SP Z.O.O.)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","POL02","","POLAND","ERA GSM (POLSKA TELEFONIA CYFROWA SP Z.O.O.)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","POLP4","","POLAND","P4 SP. Z.O.O.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","POLKM","","POLAND","POLKOMTEL SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PRTOP","","PORTUGAL","SONAECOM - Serviços de Comunicações, S.A. ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PRTTL","","PORTUGAL","VODAFONE COMMUNICACOES PESSOAIS SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PRTTM","","PORTUGAL","TMN (TELECOMUNICACOES MOVEIS NACIONAIS)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USAAT","","PUERTO RICO","AT&T MOBILITY (CINGULAR WIRELESS (FORMERLY AT&T))","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USASC","","PUERTO RICO","SUNCOM WIRELESS OPERATING CY, INC (T-MOBILE USA)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PRICL","","PUERTO RICO","PUERTO RICO TELEPHONE CO d/b/a/ CLARO PR","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","QATQT","","QATAR","QATAR TELECOM Q.S.C. 'QTEL'","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","QATVF","","QATAR","VODAFONE QATAR","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","FRARE","","REUNION (LA)","SRR (SOCIETE REUNIONAISE DE RADIOTELEPHONE)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","REU02","","REUNION (LA)","ORANGE REUNION","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","REUOT","","REUNION (LA)","OUTREMER TELECOM","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ROMMF","","ROMANIA","VODAFONE ROMANIA SA (ex -CONNEX-MOBIFON) ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ROMMR","","ROMANIA","ORANGE SA (ex-MOBILROM)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ROMCS","","ROMANIA","SC COSMOTE ROMANIAN MOBILE TEL.SA ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ROM05","","ROMANIA","RCS & RDS SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","RUSBD","","RUSSIA","OJSC VIMPELCOM (JSC KB IMPULS)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","RUS03","","RUSSIA","NCC  (NIZHEGORODSKAYA CELLULAR COMMUNICATIONS)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","RUST2","","RUSSIA","TELE 2 RUSSIA TELECOM ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","RUSSC","","RUSSIA","YENISEYTELECOM (ex- SCS - 900)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","RUS01","","RUSSIA","MTS","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","RUSNW","","RUSSIA ","MEGAFON (NORTH WEST GSM)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","RUSUT","","RUSSIA","OJSC URALSVYAZINFORM ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","RUS07","","RUSSIA","PJSC SMARTS","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","RUS17","","RUSSIA","OJSC URALSVYAZINFORM ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","RUSKH","","RUSSIA","CJSC BAYKALWESTCOM  ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","RWAMN","","RWANDA","MTN-RWANDACELL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","RWART","","RWANDA","RWANDATEL SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","RWATG","","RWANDA","TIGO RWANDA ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ARETH","","SATELLITE","THURAYA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ITAOM","","SAN MARINO","VODAFONE OMNITEL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ITASI","","SAN MARINO","TELECOM ITALIA SPA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ITAWI","","SAN MARINO","WIND TELECOMUNICAZIONI SPA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SMOSM","","SAN MARINO","SAN MARINO TELECOM S.p.A.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","STPST","","SAO TOME AND PRINCIPE","CST- Companhia Santomense de Telecomunicações ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SAUAJ","","SAUDI ARABIA","SAUDI TELECOM COMPANY","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SAUET","","SAUDI ARABIA","ETIHAD ETISALAT CO - MOBILY","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SAUZN","","SAUDI ARABIA","MOBILE TEL.CY SAUDI ARABIA 'ZAIN'","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","YUGMT","","SERBIA (ex-YUGOSLAVIA)","TELENOR D.O.O. (ex-MOBTEL BK PTT)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","YUGTS","","SERBIA (ex-YUGOSLAVIA)","TELEKOM SERBIJA A.D.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SRBNO","","SERBIA (ex-YUGOSLAVIA)","VIP MOBILE D.O.O.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SENAZ","","SENEGAL","ORANGE (SONATEL MOBILES)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SENSG","","SENEGAL","SENTEL GSM SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SENEX","","SENEGAL","SUDAN TELECOM CO. LTD (EXPRESSO SENEGAL)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SYCCW","","SEYCHELLES","CABLE & WIRELESS SEYCHELLES LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SYCAT","","SEYCHELLES","TELECOM SEYCHELLES LIMITED","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SLECT","","SIERRA LEONE","AIRTEL (SL) LIMITED (ex-ZAIN (SL) LTD)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SLEAC","","SIERRA LEONE","AFRICELL-LINTEL SIERRA LEONE LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SGPM1","","SINGAPORE","M1 LIMITED (MOBILEONE LTD)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SGPST","","SINGAPORE","SINGTEL MOBILE PTE LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SGPML","","SINGAPORE","SINGTEL MOBILE PTE LTD (900)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SGPSH","","SINGAPORE","STARHUB LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SVKET","","SLOVAK REPUBLIC","SLOVAK TELEKOM, a.s.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SVKO2","","SLOVAK REPUBLIC","TELEFONICA O2 S.R.O.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SVKGT","","SLOVAK REPUBLIC","ORANGE SLOVENSKO AS","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SVNMT","","SLOVENIA","MOBITEL D.D.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SVNSM","","SLOVENIA","SI. MOBIL D.D.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SVNVG","","SLOVENIA","TUSMOBIL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SVNT2","","SLOVENIA","T-2 D.O.O","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SLBBM","","SOLOMON ISLANDS","BMOBILE (SOLOMON ISLANDS ) LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SOM01","","SOMALIA","TELESOM COMPANY","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ZAFMN","","SOUTH AFRICA","MTN PTY LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ZAFVC","","SOUTH AFRICA","VODACOM PTY LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ZAFCC","","SOUTH AFRICA","CELL C PTY LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ESPRT","","SPAIN","FRANCE TELECOM ESPANA AS ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ESPAT","","SPAIN","AIRTEL-VODAFONE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ESPVV","","SPAIN","AIRTEL-VODAFONE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ESPTE","","SPAIN","TELEFONICA MOVILES ESPANA SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
